Year,Yearly_Ranking,Title,Studio,Total_Gross,Number_of_Theaters,Opening_Gross,Number_of_Opening_Theaters,Open_Date,End_Date,Running time,Genre,Rating
2014,100,Boyhood,IFC,"$25,352,281 ",775,"$387,618 ",5,7月11日,3月22日,2 hrs. 46 min.,Drama,R
2015,1,Star Wars: The Force Awakens,BV,"$936,662,225 ","4,134","$247,966,675 ","4,134",12月18日,6月2日,2 hrs. 16 min.,Sci-Fi Fantasy,PG-13
2015,2,Jurassic World,Uni.,"$652,270,625 ","4,291","$208,806,270 ","4,274",6月12日,11月19日,2 hrs. 4 min.,Action / Adventure,PG-13
2015,3,Avengers: Age of Ultron,BV,"$459,005,868 ","4,276","$191,271,109 ","4,276",5月1日,10月8日,2 hrs. 21 min.,Action / Adventure,PG-13
2015,4,Inside Out,BV,"$356,461,711 ","4,158","$90,440,272 ","3,946",6月19日,12月10日,1 hrs. 34 min.,Animation,PG
2015,5,Furious 7,Uni.,"$353,007,020 ","4,022","$147,187,040 ","4,004",4月3日,7月24日,2 hrs. 17 min.,Action,PG-13
2015,6,Minions,Uni.,"$336,045,770 ","4,311","$115,718,405 ","4,301",7月10日,12月17日,1 hrs. 31 min.,Animation,PG
2015,7,The Hunger Games: Mockingjay - Part 2,LGF,"$281,723,902 ","4,175","$102,665,981 ","4,175",11月20日,2月25日,2 hrs. 17 min.,Action / Adventure,PG-13
2015,8,The Martian,Fox,"$228,433,663 ","3,854","$54,308,575 ","3,831",10月2日,3月17日,2 hrs. 21 min.,Sci-Fi,PG-13
2015,9,Cinderella (2015),BV,"$201,151,353 ","3,848","$67,877,361 ","3,845",3月13日,9月17日,1 hrs. 52 min.,Fantasy,PG
2015,10,Spectre,Sony,"$200,074,609 ","3,929","$70,403,148 ","3,929",11月6日,4月7日,2 hrs. 28 min.,Action,PG-13
2015,11,Mission: Impossible - Rogue Nation,Par.,"$195,042,377 ","3,988","$55,520,089 ","3,956",7月31日,10月29日,2 hrs. 10 min.,Action,PG-13
2015,12,Pitch Perfect 2,Uni.,"$184,296,230 ","3,660","$69,216,890 ","3,473",5月15日,7月30日,1 hrs. 55 min.,Comedy,PG-13
2015,13,The Revenant,Fox,"$183,637,894 ","3,711","$474,560 ",4,12月25日,5月26日,2 hrs. 31 min.,Action / Adventure,R
2015,14,Ant-Man,BV,"$180,202,163 ","3,868","$57,225,526 ","3,856",7月17日,12月17日,1 hrs. 57 min.,Action / Adventure,PG-13
2015,15,Home (2015),Fox,"$177,397,510 ","3,801","$52,107,731 ","3,708",3月27日,9月10日,1 hrs. 34 min.,Animation,PG
2015,16,Hotel Transylvania 2,Sony,"$169,700,110 ","3,768","$48,464,322 ","3,754",9月25日,3月3日,1 hrs. 29 min.,Animation,PG
2015,17,Fifty Shades of Grey,Uni.,"$166,167,230 ","3,655","$85,171,450 ","3,646",2月13日,5月7日,2 hrs. 5 min.,Romance,R
2015,18,The SpongeBob Movie: Sponge Out of Water,Par.,"$162,994,032 ","3,680","$55,365,012 ","3,641",2月6日,5月28日,1 hrs. 33 min.,Animation,PG
2015,19,Straight Outta Compton,Uni.,"$161,197,785 ","3,142","$60,200,180 ","2,757",8月14日,10月22日,2 hrs. 27 min.,Drama,R
2015,20,San Andreas,WB (NL),"$155,190,832 ","3,812","$54,588,173 ","3,777",5月29日,10月15日,1 hrs. 54 min.,Action,PG-13
2015,21,Mad Max: Fury Road,WB,"$153,636,354 ","3,722","$45,428,128 ","3,702",5月15日,9月24日,2 hrs. 0 min.,Sci-Fi Action,R
2015,22,Daddy's Home,Par.,"$150,357,137 ","3,483","$38,740,203 ","3,271",12月25日,4月7日,1 hrs. 36 min.,Comedy,PG-13
2015,23,The Divergent Series: Insurgent,LG/S,"$130,179,072 ","3,875","$52,263,680 ","3,875",3月20日,7月9日,1 hrs. 59 min.,Action / Adventure,PG-13
2015,24,The Peanuts Movie,Fox,"$130,178,411 ","3,902","$44,213,073 ","3,897",11月6日,3月31日,1 hrs. 33 min.,Animation,G
2015,25,Kingsman: The Secret Service,Fox,"$128,261,724 ","3,282","$36,206,331 ","3,204",2月13日,7月9日,2 hrs. 9 min.,Action / Adventure,R
2015,26,The Good Dinosaur,BV,"$123,087,120 ","3,749","$39,155,217 ","3,749",11月25日,4月7日,1 hrs. 40 min.,Animation,PG
2015,27,Spy,Fox,"$110,825,712 ","3,715","$29,085,719 ","3,711",6月5日,10月8日,2 hrs. 0 min.,Comedy,R
2015,28,Trainwreck,Uni.,"$110,212,700 ","3,171","$30,097,040 ","3,158",7月17日,10月15日,2 hrs. 5 min.,Comedy,R
2015,29,Creed,WB (NL),"$109,767,581 ","3,502","$29,632,823 ","3,404",11月25日,3月3日,2 hrs. 13 min.,Drama,PG-13
2015,30,Tomorrowland,BV,"$93,436,322 ","3,972","$33,028,165 ","3,972",5月22日,9月17日,2 hrs. 10 min.,Sci-Fi,PG
2015,31,Get Hard,WB,"$90,411,453 ","3,212","$33,803,253 ","3,175",3月27日,7月9日,1 hrs. 40 min.,Comedy,R
2015,32,Terminator: Genisys,Par.,"$89,760,956 ","3,783","$27,018,486 ","3,758",7月1日,9月17日,2 hrs. 6 min.,Action,PG-13
2015,33,Taken 3,Fox,"$89,256,424 ","3,594","$39,201,657 ","3,594",1月9日,5月14日,1 hrs. 49 min.,Action,PG-13
2015,34,Sisters,Uni.,"$87,044,645 ","2,978","$13,922,855 ","2,962",12月18日,3月10日,1 hrs. 58 min.,Comedy,R
2015,35,Alvin and the Chipmunks: The Road Chip,Fox,"$85,886,987 ","3,705","$14,287,159 ","3,653",12月18日,5月19日,1 hrs. 26 min.,Family Comedy,PG
2015,36,Maze Runner: The Scorch Trials,Fox,"$81,697,192 ","3,792","$30,316,510 ","3,791",9月18日,1月21日,2 hrs. 11 min.,Action / Adventure,PG-13
2015,37,Ted 2,Uni.,"$81,476,385 ","3,448","$33,507,870 ","3,442",6月26日,8月27日,1 hrs. 55 min.,Comedy,R
2015,38,Goosebumps,Sony,"$80,080,379 ","3,618","$23,618,556 ","3,501",10月16日,2月18日,1 hrs. 43 min.,Horror Comedy,PG
2015,39,Pixels,Sony,"$78,747,585 ","3,723","$24,011,616 ","3,723",7月24日,11月8日,1 hrs. 45 min.,Action Comedy,PG-13
2015,40,Paddington,W/Dim.,"$76,271,832 ","3,355","$18,966,676 ","3,303",1月16日,6月18日,1 hrs. 35 min.,Family,PG
2015,41,The Intern,WB,"$75,764,672 ","3,320","$17,728,313 ","3,305",9月25日,1月7日,2 hrs. 1 min.,Comedy,PG-13
2015,42,Bridge of Spies,BV,"$72,313,754 ","2,873","$15,371,203 ","2,811",10月16日,3月10日,2 hrs. 20 min.,Thriller,PG-13
